election_year,electoral_unit,V_d,S_d,V,S,district_vote_share,district_seat_share,district_valid_votes_per_seat,national_valid_votes_per_seat,district_electoral_weight,district_electoral_weight_exact
2018,CE,4596080,22,98264190,513,0.04677268494250042,0.042884990253411304,208912.72727272726,191548.12865497076,0.9168810878856236,36030203//39296484
2018,DF,1439876,8,98264190,513,0.014653110151317586,0.015594541910331383,179984.5,191548.12865497076,1.0642479138757546,65509460//61554699
2018,ES,1933018,10,98264190,513,0.0196716423348119,0.01949317738791423,193301.8,191548.12865497076,0.9909278064403475,163773650//165273039
2018,GO,3031931,17,98264190,513,0.030854892306139196,0.03313840155945419,178348.88235294117,191548.12865497076,1.0740080124298683,556830410//518460201
2018,MA,3270678,18,98264190,513,0.03328453630971771,0.03508771929824561,181704.33333333334,191548.12865497076,1.0541747967208859,32754730//31071441
2018,MG,10087536,53,98264190,513,0.10265729560280301,0.10331384015594541,190330.8679245283,191548.12865497076,1.006395498237969,868000345//862484328
2018,MS,1240027,8,98264190,513,0.012619317372890368,0.015594541910331383,155003.375,191548.12865497076,1.235767470579081,262037840//212044617
2018,MT,1408190,8,98264190,513,0.014330652906211307,0.015594541910331383,176023.75,191548.12865497076,1.0881947956169027,26203784//24080049
2018,PA,3956457,17,98264190,513,0.04026346729159422,0.03313840155945419,232732.76470588235,191548.12865497076,0.823038942956919,556830410//676554147
2018,PB,1989377,12,98264190,513,0.02024518799778434,0.023391812865497075,165781.41666666666,191548.12865497076,1.1554258161523177,131018920//113394489
2018,PE,4331764,25,98264190,513,0.044082834245110045,0.04873294346978557,173270.56,191548.12865497076,1.1054857135278535,409434125//370365822
2018,PI,1787802,10,98264190,513,0.01819383032618495,0.01949317738791423,178780.2,191548.12865497076,1.071416905535237,163773650//152857071
2018,PR,5709044,30,98264190,513,0.058098926984489464,0.05847953216374269,190301.46666666667,191548.12865497076,1.0065509846568221,81886825//81353877
2018,RJ,7733626,46,98264190,513,0.07870238384909091,0.08966861598440545,168122.30434782608,191548.12865497076,1.1393379920529716,753358790//661225023
2018,RN,1618823,8,98264190,513,0.016474190648699184,0.015594541910331383,202352.875,191548.12865497076,0.9466044337396776,262037840//276818733
2018,RO,783305,8,98264190,513,0.007971418682635047,0.015594541910331383,97913.125,191548.12865497076,1.9563069675793798,52407568//26789031
2018,RR,270708,8,98264190,513,0.0027548998266815204,0.015594541910331383,33838.5,191548.12865497076,5.660656608743613,65509460//11572767
2018,RS,5845077,31,98264190,513,0.05948328684132032,0.06042884990253411,188550.87096774194,191548.12865497076,1.0158962813157284,1015396630//999508167
2018,SC,3548458,16,98264190,513,0.03611140538582774,0.031189083820662766,221778.625,191548.12865497076,0.8636906674616219,262037840//303393159
2018,SE,953969,8,98264190,513,0.009708206010755291,0.015594541910331383,119246.125,191548.12865497076,1.6063258127253255,262037840//163128699
2018,SP,21131103,70,98264190,513,0.21504378146301312,0.1364522417153996,301872.9,191548.12865497076,0.6345323765563943,327547300//516202659
2018,TO,715942,8,98264190,513,0.007285889193204564,0.015594541910331383,89492.75,191548.12865497076,2.140375937212464,131018920//61213041
2022,AC,434253,8,109413508,513,0.003968915794199743,0.015594541910331383,54281.625,213281.69200779728,3.9291692540117817,875308064//222771789
2022,AL,1650763,9,109413508,513,0.01508737842497473,0.017543859649122806,183418.11111111112,213281.69200779728,1.162816968922962,109413508//94093491
2022,AM,1976477,8,109413508,513,0.01806428690687808,0.015594541910331383,247059.625,213281.69200779728,0.863280238556977,875308064//1013932701
2022,AP,423017,8,109413508,513,0.003866222806785429,0.015594541910331383,52877.125,213281.69200779728,4.033534198536651,875308064//217007721
2022,BA,7958431,39,109413508,513,0.07273718890358584,0.07602339181286549,204062.33333333334,213281.69200779728,1.0451791299445952,109413508//104683977
2022,CE,5083860,22,109413508,513,0.04646464676006915,0.042884990253411304,231084.54545454544,213281.69200779728,0.9229595669769702,601774294//652005045
2022,DF,1607519,8,109413508,513,0.01469214386216371,0.015594541910331383,200939.875,213281.69200779728,1.0614204473243416,875308064//824657247
2022,ES,2084430,10,109413508,513,0.019050938390532183,0.01949317738791423,208443.0,213281.69200779728,1.0232135020499478,109413508//106931259
2022,GO,3439644,17,109413508,513,0.03143710555373108,0.03313840155945419,202332.0,213281.69200779728,1.0541174505653939,27353377//25949079
2022,MA,3707930,18,109413508,513,0.03388914282868986,0.03508771929824561,205996.11111111112,213281.69200779728,1.0353675652292116,109413508//105676005
2022,MG,11181098,53,109413508,513,0.10219120293629558,0.10331384015594541,210964.11320754717,213281.69200779728,1.0109856542186872,2899457962//2867951637
2022,MS,1374808,8,109413508,513,0.012565249256060777,0.015594541910331383,171851.0,213281.69200779728,1.241084963182043,109413508//88159563
2022,MT,1730277,8,109413508,513,0.015814107705969905,0.015594541910331383,216284.625,213281.69200779728,0.9861158277330035,875308064//887632101
2022,PA,4521516,17,109413508,513,0.04132502542556263,0.03313840155945419,265971.5294117647,213281.69200779728,0.8018967010472934,465007409//579884427
2022,PB,2209355,12,109413508,513,0.02019270783274767,0.023391812865497075,184112.91666666666,213281.69200779728,1.1584287287889756,437654032//377799705
2022,PE,4969863,25,109413508,513,0.04542275529635701,0.04873294346978557,198794.52,213281.69200779728,1.0728751074617011,2735337700//2549539719
2022,PI,1957483,10,109413508,513,0.01789068859760899,0.01949317738791423,195748.3,213281.69200779728,1.0895711074262064,1094135080//1004188779
2022,PR,6038642,30,109413508,513,0.05519100987055456,0.05847953216374269,201288.06666666668,213281.69200779728,1.0595843834149994,547067540//516303891
2022,RJ,8575988,46,109413508,513,0.07838143714394022,0.08966861598440545,186434.52173913043,213281.69200779728,1.1440032136657228,1258255342//1099870461
2022,RN,1864825,8,109413508,513,0.017043827897374426,0.015594541910331383,233103.125,213281.69200779728,0.9149671074027741,875308064//956655225
2022,RO,869148,8,109413508,513,0.007943699236843772,0.015594541910331383,108643.5,213281.69200779728,1.9631334779144383,218827016//111468231
2022,RR,291714,8,109413508,513,0.0026661607449785817,0.015594541910331383,36464.25,213281.69200779728,5.849062904291115,437654032//74824641
2022,RS,6149822,31,109413508,513,0.056207154970298545,0.06042884990253411,198381.35483870967,213281.69200779728,1.0751095645112518,1695909374//1577429343
2022,SC,3969848,16,109413508,513,0.036282978880450484,0.031189083820662766,248115.5,213281.69200779728,0.8596064816901696,218827016//254566503
2022,SE,1191617,8,109413508,513,0.01089094958914945,0.015594541910331383,148952.125,213281.69200779728,1.4318808275329893,875308064//611299521
2022,SP,23321040,70,109413508,513,0.21314589419799976,0.1364522417153996,333157.71428571426,213281.69200779728,0.6401823606728434,191473639//299092338
2022,TO,830140,8,109413508,513,0.00758718018619785,0.015594541910331383,103767.5,213281.69200779728,2.0553804612021804,218827016//106465455
