"coalition_id","election_year","cabinet_period","source_periods","period_start","period_end","period_days","days_overlapping_mandate","cabinet_party_set_id","A_C","B_C","q_C","A_over_q","B_over_q","A_C_exact","B_C_exact"
"2018/2021.1",2018,"2021.1","[""bolsonaro-2021-02-12""]",2021-02-12,2021-03-30,47,47,"2018:DEM|PRB|PSC|PSD|PSL",7.726026876017899,-4.354244754779226,148.62821787876132,0.051982234506237276,-0.0292962185574415,"219752418270725134896709184673410509890824831537928672017749374717673700822503549473816185766958260236684547106986477308910648697242038949669386146627//28443134070999835581498488324054837108364385161011727359074140333607824829421121472035460244686686858708604759616247055862310616826161615436416068840","-405661983310137613343268492522975170896885667250790632740208591668615529339419729119166620471393942168328528730917566879914902931158513580609775563348538879//93164717684940044451637598046256869467845617756494565648008651660943422817498489011372405074044636265154849757794507592806490143027438064998364050251561320"
"2018/2021.2",2018,"2021.2","[""bolsonaro-2021-03-31""]",2021-03-31,2021-07-27,119,119,"2018:DEM|PR|PRB|PSC|PSD|PSL",14.094407727474627,-4.998230106715732,175.9038223792411,0.08012564785026495,-0.028414562225599408,"340755759347312391066085803663235465286998401491698370167434189091445490011556853487324055868680709412318639748959637219306282774503559154024309001255//24176663960349860244273715075446611542109727386859968255213019283566651105007953251230141207983683829902314045673809997482964024302237373120953658514","-1979049461470290459771163880172740364886915148902942479143206687856295204198865795676104802457790121549207844899933971199120465799074647111411656002359264681//395950050160995188919459791696591695238343875465101904004036769559009546974368578298332721564689704126908111470626657269427583107866611776243047213569135610"
"2018/2021.3",2018,"2021.3","[""bolsonaro-2021-07-28"",""bolsonaro-2022-02-08""]",2021-07-28,2022-03-23,239,239,"2018:DEM|PP|PR|PRB|PSC|PSD|PSL",21.41318435681838,-3.5531374567218146,204.13995309990344,0.10489462759080309,-0.017405399593596237,"31061961750949100648891719825080600448081532723596564558364943667493213582310457391415638623776846070682728293895034737825029486548630252817244323195223//1450599837620991614656422904526796692526583643211598095312781157013999066300477195073808472479021029794138842740428599848977841458134242387257219510840","-16882379450614959323776842134516104061489196911297099871836734728066732174007942023026979965736377713987824666995524147182734395739924545619332305763028266303//4751400601931942267033517500359100342860126505581222848048441234708114563692422939579992658776276449522897337647519887233130997294399341314916566562829627320"
"2018/2022.1",2018,"2022.1","[""bolsonaro-2022-03-24""]",2022-03-24,2022-03-26,3,3,"2018:DEM|PP|PR|PRB|PSC|PSL",17.149687275538703,-4.276243531688579,174.12655625614988,0.09848978607439154,-0.024558250180966003,"24877333577147231007188237433207815035661463108979277451494839441301581522908460549182475420242584569504889656590039319318876393913854629279368338962821//1450599837620991614656422904526796692526583643211598095312781157013999066300477195073808472479021029794138842740428599848977841458134242387257219510840","-20318146090472692564982260562283337356949267741556116724257379851579790062936088678309923692266929917746436093825525577517811596759190447547242640826162756717//4751400601931942267033517500359100342860126505581222848048441234708114563692422939579992658776276449522897337647519887233130997294399341314916566562829627320"
"2018/2022.2",2018,"2022.2","[""bolsonaro-2022-03-27""]",2022-03-27,2022-03-27,1,1,"2018:DEM|PP|PR|PSC|PSL",12.768314457335787,-2.8725439228206198,148.10422946548482,0.08621168013511321,-0.019395421273165302,"1122528174454851710513910001931215277555744099901478167312091061879622054710855256565271035962728614122408410088816387326399749349896770790742047931489//87915141673999491797358963910714951062217190497672611837138251940242367654574375459018695301758850290553869256995672718119869179280863174985286030960","-165437659684434377706326509589344076535962063327284039163851580135283339966955616430008787241508725680825845531617107171457288286677997632261789337326039453//57592734568872027479194151519504246580122745522196640582405348299492297741726338661575668591227593327550270759363877421007648452053325349271715958337328816"
"2018/2022.3",2018,"2022.3","[""bolsonaro-2022-03-28""]",2022-03-28,2022-03-29,2,2,"2018:DEM|PP|PR|PRB|PSC|PSL",17.149687275538703,-4.276243531688579,174.12655625614988,0.09848978607439154,-0.024558250180966003,"24877333577147231007188237433207815035661463108979277451494839441301581522908460549182475420242584569504889656590039319318876393913854629279368338962821//1450599837620991614656422904526796692526583643211598095312781157013999066300477195073808472479021029794138842740428599848977841458134242387257219510840","-20318146090472692564982260562283337356949267741556116724257379851579790062936088678309923692266929917746436093825525577517811596759190447547242640826162756717//4751400601931942267033517500359100342860126505581222848048441234708114563692422939579992658776276449522897337647519887233130997294399341314916566562829627320"
"2018/2022.4",2018,"2022.4","[""bolsonaro-2022-03-30""]",2022-03-30,2022-03-30,1,1,"2018:DEM|PP|PR|PRB|PSL",20.22280403022497,-5.371178081850491,165.14837405162552,0.12245233503723933,-0.03252334824786986,"29335196242485476332079484606826852077857499645161596598485822744632481474895761742030561402330031201172650694641858098210269872536820332692653131917421//1450599837620991614656422904526796692526583643211598095312781157013999066300477195073808472479021029794138842740428599848977841458134242387257219510840","-25520618771188077956325894358960545977058035874517396833156688903167119417661414981269513729874143866934134089723255707491446286646820628617897683366120893301//4751400601931942267033517500359100342860126505581222848048441234708114563692422939579992658776276449522897337647519887233130997294399341314916566562829627320"
"2018/2022.5",2018,"2022.5","[""bolsonaro-2022-03-31""]",2022-03-31,2022-05-10,41,41,"2018:PP|PRB|PSD",15.963646528826347,0.7644991160927233,84.27185435508093,0.18943034600334346,0.00907182026482404,"9262745225021761844135510559400808359709353483726734858413733387394373544479356736105944720819130977442639774554808340642434456941500095338314526178231//580239935048396645862569161810718677010633457284639238125112462805599626520190878029523388991608411917655537096171439939591136583253696954902887804336","7264883120758806060944438668323125139762916377484086474125532318605907299288687715070045290890391798565954122333141403338406163519962957519745761663305796877//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640"
"2018/2022.6",2018,"2022.6","[""bolsonaro-2022-05-11""]",2022-05-11,2022-12-29,233,233,"2018:DEM|PP|PRB|PSD|PSL",18.117920260047917,-4.00408665494722,167.8861663948993,0.10791788656029717,-0.02385000944943175,"1314092609362779219477499359862472278874486578935567188410754686796937143777601419909445336392916070484114142473279281315624454113036319671110463477625//72529991881049580732821145226339834626329182160579904765639057850699953315023859753690423623951051489706942137021429992448892072906712119362860975542","-2378127467812984684796650310974020252337019035901674062596025212559738884332160620368851252236400156896222936171355316705322943190967894245518253750681338693//593925075241492783379189687544887542857515813197652856006055154338514320461552867447499082347034556190362167205939985904141374661799917664364570820353703415"
"2018/2022.7",2018,"2022.7","[""bolsonaro-2022-12-30""]",2022-12-30,2022-12-31,2,2,"2018:DEM|NOVO|PRB|PSD|PSL",5.916863899126858,-6.913575885456771,153.99671198632993,0.03842201448854369,-0.044894308432185746,"2452286231799693310810954967695894059735099359298558021171123351723308434315781463122463539585899405455104798025709748487602657816137992866022608780333//414457096463140461330406544150513340721881040917599455803651759146856876085850627163945277851148865655468240782979599956850811845181212110644919860240","-9385476749617560193996745602892895388620120448002743616959883388011573160573095673582264090623579508666025741286229592521784047758559967664350896381012753277//1357543029123412076295290714388314383674321858737492242299554638488032732483549411308569331078936128435113525042148539209465999226971240375690447589379893520"
