election_year,ideological_universe,ideological_party_count,left_original_ordinal_position,right_original_ordinal_position,k,gap_count,coalition_id,q_C,d_C,R_C,minimal_seat_majority,inversion,start_index,end_index,start_party,end_party,parties,interval_size,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,required_diff,representation_ratio,vote_majority,seat_majority,majority_status,coalition_inversion,left_removed_seats,right_removed_seats,minimal_connected_winning,minimal_connected_inversion,endpoint_minimal_connected_winning,minimal_ideological_interval_inversion,old_sweep_equivalent
2014,seat_winning,28,5,13,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B,178.8959364679625,-1.895936467962514,0.9894020149065709,false,false,2,9,PCdoB,PT DO B,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B",8,33950248,97355354,0.34872502235470276,177,0.34502923976608185,178.8959364679625,-1.895936467962514,78.10406353203749,0.9894020149065709,false,false,neither,false,167,176,false,false,false,false,false
2014,seat_winning,28,5,14,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE,193.06892805299645,-1.0689280529964549,0.9944634899889068,false,false,2,10,PCdoB,SOLIDARIEDADE,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE",9,36639949,97355354,0.376352686263151,192,0.3742690058479532,193.06892805299645,-1.0689280529964549,63.931071947003545,0.9944634899889068,false,false,neither,false,182,177,false,false,false,false,false
2014,seat_winning,28,5,15,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN,195.53747897624612,-0.5374789762461205,0.9972512738782348,false,false,2,11,PCdoB,PMN,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN",10,37108422,97355354,0.3811646763669515,195,0.38011695906432746,195.53747897624612,-0.5374789762461205,61.46252102375388,0.9972512738782348,false,false,neither,false,185,192,false,false,false,false,false
2014,seat_winning,28,5,17,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS,200.50683981899957,-0.5068398189995662,0.9974722068361503,false,false,2,12,PCdoB,PHS,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS",11,38051490,97355354,0.3908515396081863,200,0.3898635477582846,200.50683981899957,-0.5068398189995662,56.493160181000434,0.9974722068361503,false,false,neither,false,190,195,false,false,false,false,false
2014,seat_winning,28,5,18,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB,257.3734589573779,7.62654104262208,1.0296321970164184,true,false,2,13,PCdoB,PMDB,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",12,48843439,97355354,0.5017026490397231,265,0.5165692007797271,257.3734589573779,7.62654104262208,-0.37345895737792034,1.0296321970164184,true,true,votes+seats,false,255,200,true,false,true,false,true
2014,seat_winning,28,5,19,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD,288.8207267573594,12.17927324264059,1.0421689723565875,false,false,2,14,PCdoB,PSD,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD",13,54811392,97355354,0.5630033659987513,301,0.5867446393762183,288.8207267573594,12.17927324264059,-31.82072675735941,1.0421689723565875,true,true,votes+seats,false,291,265,false,false,false,false,false
2014,seat_winning,28,5,20,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB,347.25111154133344,7.748888458666556,1.0223149421301254,false,false,2,15,PCdoB,PSDB,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB",14,65900107,97355354,0.6769027515425603,355,0.6920077972709552,347.25111154133344,7.748888458666556,-90.25111154133344,1.0223149421301254,true,true,votes+seats,false,345,301,false,false,false,false,false
2014,seat_winning,28,5,21,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN,351.06181481297887,7.9381851870211335,1.0226119300136645,false,false,2,16,PCdoB,PTN,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",15,66623289,97355354,0.6843310230272492,359,0.6998050682261209,351.06181481297887,7.9381851870211335,-94.06181481297887,1.0226119300136645,true,true,votes+seats,false,349,355,false,false,false,false,false
2014,seat_winning,28,5,23,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB,353.4551035272287,6.544896472771313,1.0185169103726555,false,false,2,17,PCdoB,PRTB,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB",16,67077479,97355354,0.6889963031719858,360,0.7017543859649122,353.4551035272287,6.544896472771313,-96.45510352722869,1.0185169103726555,true,true,votes+seats,false,350,359,false,false,false,false,false
2014,seat_winning,28,5,24,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS,363.8732364734661,7.126763526533921,1.019585841474916,false,false,2,18,PCdoB,PROS,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS",17,69054596,97355354,0.7093045545291736,371,0.723196881091618,363.8732364734661,7.126763526533921,-106.87323647346608,1.019585841474916,true,true,votes+seats,false,361,360,false,false,false,false,false
