"case_id","case_domain","election_year","case_order","case_label","case_display","electoral_unit","v_Cd","V_d","s_Cd","S_d","a_Cd","b_Cd","d_Cd"
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","MS",750232,1240027,6,8,1.1598989376844213,0.9234248448654576,2.083323782549879
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","MT",547362,1408190,2,8,-1.1095917454320794,0.2520227164704608,-0.8575690289616187
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","PA",1798943,3956457,9,17,1.270349203845764,-1.6619470890977566,-0.39159788525199263
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","PB",1058744,1989377,8,12,1.6136147145563662,0.8590851367322875,2.4726998512886538
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","PE",1661538,4331764,10,25,0.41073105552380046,0.915010356479901,1.3257414120037014
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","PI",687025,1787802,4,10,0.15715274957741404,0.25615076414411564,0.4133035137215297
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","PR",2994124,5709044,16,30,0.2664165839324412,0.10239964505189172,0.36881622898433297
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","RJ",4110062,7733626,26,46,1.553142600896397,2.989785336534319,4.542927937430716
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","RN",570301,1618823,4,8,1.1816511131853205,-0.15897594535459797,1.0226751678307224
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","RO",387218,783305,4,8,0.045290148792615906,1.9331917987001583,1.9784819474927744
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","RR",146542,270708,6,8,1.6693706872349543,3.5655892101600175,5.234959897394972
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","RS",2088379,5845077,13,31,1.9240554059424708,0.17331132551890888,2.09736673146138
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","SC",1931798,3548458,9,16,0.28952125120263505,-1.3747046125064835,-1.0851833613038484
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","SE",430073,953969,3,8,-0.6065993758707044,1.3613516513435904,0.7547522754728859
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","SP",12201672,21131103,41,70,0.5801014267925342,-23.280394850063004,-22.70029342327047
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","TO",359159,715942,4,8,-0.01327481835120722,2.1382421436810146,2.1249673253298074
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","AC",216161,434253,3,8,-0.9822131338183041,2.968713109671377,1.9864999758530728
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","AL",728401,1650763,4,9,0.028740043240610556,0.556053554639461,0.5847935978800717
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","AM",932438,1976477,4,8,0.2258584339711517,-0.5977198498394739,-0.3718614158683222
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","AP",201989,423017,5,8,1.1800305897871717,2.8729167208867534,4.052947310673925
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","BA",4791616,7958431,25,39,1.5188610669615656,1.0150005838320457,2.5338616507936114
