event_id,date,event_type,record_id,person_id,person_name,office_id,party_id,state,date_status,evidence_ids,decision_ids
affiliation-a111766803f9-end,2023-01-01,affiliations_end,affiliation-a111766803f9,person-af97e0cae87f,Ciro Nogueira,,PP,PARTY,adjudicated_continuity,C010;LEG-d1a5739ab53a,C010;PERSON-CONTINUITY-REVIEW
affiliation-a198796370f1-start,2023-01-01,affiliations_start,affiliation-a198796370f1,person-0fde3aa24a12,Sônia Guajajara,,PSOL,PARTY,adjudicated_continuity,LEG-84371a57fbec,PERSON-CONTINUITY-REVIEW
affiliation-a5a55f674fc5-end,2023-01-01,affiliations_end,affiliation-a5a55f674fc5,person-99dce727f50d,Paulo Sérgio Nogueira de Oliveira,,,UNAFFILIATED,adjudicated_continuity,LEG-70db330a83a1,PERSON-CONTINUITY-REVIEW
affiliation-b0b11d18926e-start,2023-01-01,affiliations_start,affiliation-b0b11d18926e,person-084754daf6e9,Jader Barbalho Filho,,MDB,PARTY,adjudicated_continuity,LEG-eedd92e5054e,PERSON-CONTINUITY-REVIEW
affiliation-b460623960a1-end,2023-01-01,affiliations_end,affiliation-b460623960a1,person-0429cfdf16f2,Augusto Heleno,,,UNAFFILIATED,adjudicated_conflict_resolution,AFF-010;AFF-011;LEG-ba6b7e4f1910;BOL-E09;BOL-E10;BOL-E11,PERSON-CONTINUITY-REVIEW;R20
affiliation-b4a5bfd222ea-start,2023-01-01,affiliations_start,affiliation-b4a5bfd222ea,person-d24bcf5e9d95,Luiz Marinho,,PT,PARTY,adjudicated_continuity,LEG-6861963d73aa,PERSON-CONTINUITY-REVIEW
affiliation-b82239160ecd-start,2023-01-01,affiliations_start,affiliation-b82239160ecd,person-d7245619b521,Gonçalves Dias,,,UNAFFILIATED,adjudicated_continuity,LEG-acfd621740b2,PERSON-CONTINUITY-REVIEW
affiliation-ba139ab01c35-end,2023-01-01,affiliations_end,affiliation-ba139ab01c35,person-ebaf14a16f4d,Carlos França,,,UNAFFILIATED,adjudicated_continuity,ATLAS-626;C072,C072;PERSON-CONTINUITY-REVIEW
affiliation-c26dca6ad1e7-start,2023-01-01,affiliations_start,affiliation-c26dca6ad1e7,person-0dd4119dea52,Waldez Góes,,PDT,PARTY,adjudicated_continuity,LEG-3d0e51476ed5,PERSON-CONTINUITY-REVIEW;R28
affiliation-c73c38b305e8-end,2023-01-01,affiliations_end,affiliation-c73c38b305e8,person-94039ea6c1ed,Marcelo Sampaio,,,UNAFFILIATED,adjudicated_continuity,LEG-7a6d44294d17,PERSON-CONTINUITY-REVIEW
affiliation-c7bd6a5e7b1c-end,2023-01-01,affiliations_end,affiliation-c7bd6a5e7b1c,person-5a4f56e80b67,Carlos Alberto Gomes de Brito,,,UNAFFILIATED,adjudicated_continuity,LEG-3a3c01153d10,PERSON-CONTINUITY-REVIEW
affiliation-c7e9e8691f3f-start,2023-01-01,affiliations_start,affiliation-c7e9e8691f3f,person-4a5b603c4e67,Juscelino Filho,,UNIAO,PARTY,adjudicated_continuity,LEG-b5c3c93f0a0d,PERSON-CONTINUITY-REVIEW
affiliation-c9cbe3bd838f-start,2023-01-01,affiliations_start,affiliation-c9cbe3bd838f,person-620c3584df9c,Luciana Santos,,PCdoB,PARTY,adjudicated_continuity,LEG-a79dfb4e75e8,PERSON-CONTINUITY-REVIEW
affiliation-cb4f91ba02c2-start,2023-01-01,affiliations_start,affiliation-cb4f91ba02c2,person-2386b1d96cb0,Simone Tebet,,MDB,PARTY,adjudicated_continuity,LEG-89a6204c7ce1,PERSON-CONTINUITY-REVIEW
affiliation-cbf6a26ba015-end,2023-01-01,affiliations_end,affiliation-cbf6a26ba015,person-b8dfe242ff4d,Marcos Montes,,PSD,PARTY,evidence_supported,LEG-342db9e7f38f;BOL-E17;BOL-E21,PERSON-CONTINUITY-REVIEW;R25
