period,start_date,end_date,minister,office,raw_party,canonical_party_at_date,source_url_or_page,notes
2016.3,2016-04-16,2016-05-11,Aloizio Mercadante,Ministério da Educação,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,André Figueiredo,Ministério das Comunicações,PDT,PDT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Miguel Rossetto,Ministério do Trabalho e Emprego,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Helder Barbalho,Secretaria Nacional dos Portos,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Ricardo Berzoini,Secretaria-Geral da Presidência,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,José Eduardo Cardozo,Advocacia-Geral da União,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Mauro Lopes,Secretaria de Aviação Civil,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Ricardo Leyser,Ministério do Esporte,PCdoB,PCdoB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.4,2016-05-12,2017-12-27,Blairo Maggi,"Agricultura, Pecuária e Abastecimento",PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Eliseu Padilha,Casa Civil,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Bruno Araújo,Cidades,PSDB,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Gilberto Kassab,"Ciência, Tecnologia, Inovações e Comunicações",PSD,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Raul Jungmann,Defesa,PPS,PPS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Osmar Terra,Desenvolvimento Social e Agrário,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Mendonça Filho,Educação,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Leonardo Picciani,Esporte,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Henrique Meirelles,Fazenda e Previdência Social,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Helder Barbalho,Integração Nacional,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Alexandre de Moraes,Justiça,PSDB,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Sarney Filho,Meio Ambiente,PV,PV,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Fernando Bezerra Coelho Filho,Minas e Energia,PSB,PSB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Romero Jucá,"Planejamento, Orçamento e Gestão",MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,José Serra,Relações Exteriores,PSDB,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Ricardo Barros,Saúde,PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Ronaldo Nogueira,Trabalho,PTB,PTB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Maurício Quintella Lessa,"Transportes, Portos e Aviação Civil",PR,PR,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2016.4,2016-05-12,2017-12-27,Henrique Eduardo Alves,Turismo,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Blairo Maggi,"Agricultura, Pecuária e Abastecimento",PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Eliseu Padilha,Casa Civil,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
