election_year,start_index,end_index,start_party,end_party,interval_size,vote_share,seat_share,seats,seat_diff,majority_status,coalition_inversion,minimal_ideological_interval_inversion
2014,8,9,PSB,PPS,2,0.08446959167751575,0.08576998050682261,44,0.6670994694344188,neither,false,false
2014,8,10,PSB,PV,3,0.10505874181300805,0.10136452241715399,52,-1.8951345500731307,neither,false,false
2014,8,11,PSB,PTB,4,0.14526395743987536,0.15009746588693956,77,2.479589833343937,neither,false,false
2014,8,12,PSB,PT DO B,5,0.15360964123246884,0.15204678362573099,78,-0.8017459522565105,neither,false,false
2014,8,13,PSB,SOLIDARIEDADE,6,0.18123730514091707,0.18128654970760233,93,0.025262462709548572,neither,false,false
2014,8,14,PSB,PMN,7,0.1860492952447176,0.1871345029239766,96,0.5567115394598687,neither,false,false
2014,8,15,PSB,PHS,8,0.1957361584859524,0.1968810916179337,101,0.5873506967064088,neither,false,false
2014,8,16,PSB,PMDB,9,0.30658726791748914,0.3235867446393762,166,8.720731558328083,neither,false,false
2014,8,17,PSB,PSD,10,0.3678879848765174,0.3937621832358674,202,13.273463758346566,neither,false,false
2014,8,18,PSB,PSDB,11,0.4817873704203263,0.49902534113060426,256,8.843078974372588,neither,false,false
2014,8,19,PSB,PTN,12,0.4892156419050153,0.50682261208577,260,9.032375702727137,seats_only,true,true
2014,8,20,PSB,PPL,13,0.49066655337722875,0.50682261208577,260,8.288058117481654,seats_only,true,false
2014,8,21,PSB,PRTB,14,0.4953318335219653,0.5087719298245614,261,6.894769403231805,seats_only,true,false
2014,8,22,PSB,PROS,15,0.5156400848791531,0.530214424951267,272,7.476636456994413,votes+seats,false,false
2014,8,23,PSB,PRP,16,0.5230852326827347,0.5360623781676414,275,6.657275633757138,votes+seats,false,false
2014,8,24,PSB,PR,17,0.5809713043619563,0.6023391812865497,309,10.961720862316383,votes+seats,false,false
2014,8,25,PSB,PRB,18,0.6264215422605315,0.6432748538011696,330,8.645748820347364,votes+seats,false,false
2014,8,26,PSB,PTC,19,0.6298945613201714,0.6471734892787524,332,8.864090042752082,votes+seats,false,false
2014,8,27,PSB,PSDC,20,0.6351324447959996,0.6510721247563352,334,8.177055819652196,votes+seats,false,false
2014,8,28,PSB,PSL,21,0.6434392298547854,0.6530214424951267,335,4.915675084495092,votes+seats,false,false
2014,8,29,PSB,PP,22,0.709483784528173,0.7270955165692008,373,9.034818537047272,votes+seats,false,false
2014,8,30,PSB,PSC,23,0.7353726637366035,0.7524366471734892,386,8.753823503122419,votes+seats,false,false
2014,8,31,PSB,PEN,24,0.742233950482066,0.7563352826510721,388,7.233983402700176,votes+seats,false,false
2014,8,32,PSB,DEM,25,0.7841986379095288,0.797270955165692,409,6.7060987524117195,votes+seats,false,false
2014,9,9,PPS,PPS,1,0.020088150467821215,0.01949317738791423,10,-0.30522118999228276,neither,false,false
2014,9,10,PPS,PV,2,0.04067730060331351,0.03508771929824561,18,-2.8674552094998305,neither,false,false
2014,9,11,PPS,PTB,3,0.08088251623018083,0.08382066276803118,43,1.50726917391723,neither,false,false
2014,9,12,PPS,PT DO B,4,0.0892282000227743,0.08576998050682261,44,-1.7740666116832173,neither,false,false
2014,9,13,PPS,SOLIDARIEDADE,5,0.11685586393122252,0.11500974658869395,59,-0.9470581967171512,neither,false,false
