"check_kind","check_name","observed","expected","passed"
"accounting_identity","2018/2022.1 member B equals district B_C","-20318146090472692564982260562283337356949267741556116724257379851579790062936088678309923692266929917746436093825525577517811596759190447547242640826162756717//4751400601931942267033517500359100342860126505581222848048441234708114563692422939579992658776276449522897337647519887233130997294399341314916566562829627320","-20318146090472692564982260562283337356949267741556116724257379851579790062936088678309923692266929917746436093825525577517811596759190447547242640826162756717//4751400601931942267033517500359100342860126505581222848048441234708114563692422939579992658776276449522897337647519887233130997294399341314916566562829627320",true
"accounting_identity","2018/2022.1 coalition A+B closure","210833087//16377365","210833087//16377365",true
"accounting_identity","2018/2022.1 member votes","33353616","33353616",true
"accounting_identity","2018/2022.1 calendar days","3","3",true
"accounting_identity","2018/2022.2 member A equals district A_C","2263558623023209856552235259205767039319822078650379761609635732661122447570637338342094555656355214193480645896340137632930450509603140689623763123//213260781773153721648988959795177402606084040460393721745483851369303008865109849319877752496180686532510856033582563929576277779790391412416527420","2263558623023209856552235259205767039319822078650379761609635732661122447570637338342094555656355214193480645896340137632930450509603140689623763123//213260781773153721648988959795177402606084040460393721745483851369303008865109849319877752496180686532510856033582563929576277779790391412416527420",true
"accounting_identity","2018/2022.2 member B equals district B_C","264888396910245349840443539571680043350800948293281461535231181964715941694436649956192523255275721428539497035548423806720386463886792945087365201637911//139705986531371428022155763021437822489271582051785440989369045419233006871285590696265588320384488371740586228977356284420199861640674546160440063593932","264888396910245349840443539571680043350800948293281461535231181964715941694436649956192523255275721428539497035548423806720386463886792945087365201637911//139705986531371428022155763021437822489271582051785440989369045419233006871285590696265588320384488371740586228977356284420199861640674546160440063593932",true
"accounting_identity","2018/2022.2 coalition A+B closure","409764377//32754730","409764377//32754730",true
"accounting_identity","2018/2022.2 member votes","12352923","12352923",true
"accounting_identity","2018/2022.2 calendar days","1","1",true
"accounting_identity","2018/2022.3 member A equals district A_C","14501562968297367485318017756306926904963410159723180552876052782565848339036549327505620329621393735619470829007649696408315636004585649468630256570599//967066558413994409770948603017864461684389095474398730208520771342666044200318130049205648319347353196092561826952399899318560972089494924838146340560","14501562968297367485318017756306926904963410159723180552876052782565848339036549327505620329621393735619470829007649696408315636004585649468630256570599//967066558413994409770948603017864461684389095474398730208520771342666044200318130049205648319347353196092561826952399899318560972089494924838146340560",true
"accounting_identity","2018/2022.3 member B equals district B_C","1559543474940391962575440839780258154418895156266212675715725338800716440910360094783939314046311491137549637807925105195983353685689456784517513340627234177//3167600401287961511355678333572733561906751003720815232032294156472076375794948626386661772517517633015264891765013258155420664862932894209944377708553084880","1559543474940391962575440839780258154418895156266212675715725338800716440910360094783939314046311491137549637807925105195983353685689456784517513340627234177//3167600401287961511355678333572733561906751003720815232032294156472076375794948626386661772517517633015264891765013258155420664862932894209944377708553084880",true
"accounting_identity","2018/2022.3 coalition A+B closure","507297259//32754730","507297259//32754730",true
"accounting_identity","2018/2022.3 member votes","17337451","17337451",true
"accounting_identity","2018/2022.3 calendar days","2","2",true
"accounting_identity","2018/2022.4 member A equals district A_C","17473471411856197701912182538719618266427434517178059984203374984786448307028083456071010984346358156731311521042195549002577955086562785077486785206999//967066558413994409770948603017864461684389095474398730208520771342666044200318130049205648319347353196092561826952399899318560972089494924838146340560","17473471411856197701912182538719618266427434517178059984203374984786448307028083456071010984346358156731311521042195549002577955086562785077486785206999//967066558413994409770948603017864461684389095474398730208520771342666044200318130049205648319347353196092561826952399899318560972089494924838146340560",true
"accounting_identity","2018/2022.4 member B equals district B_C","-1908771645536531631653648358004547592320283599041307396883814028924169795573190773855787377691831141654249026123894981453106439572730663929252515019344856879//3167600401287961511355678333572733561906751003720815232032294156472076375794948626386661772517517633015264891765013258155420664862932894209944377708553084880","-1908771645536531631653648358004547592320283599041307396883814028924169795573190773855787377691831141654249026123894981453106439572730663929252515019344856879//3167600401287961511355678333572733561906751003720815232032294156472076375794948626386661772517517633015264891765013258155420664862932894209944377708553084880",true
