election_year,ideological_universe,ideological_party_count,start_index,end_index,start_party,end_party,interval_size,vote_share,seat_share,seats,seat_diff,majority_status,coalition_inversion,minimal_ideological_interval_inversion
2014,seat_winning,28,5,11,PSB,PMN,7,0.1860492952447176,0.1871345029239766,96,0.5567115394598687,neither,false,false
2014,seat_winning,28,5,12,PSB,PHS,8,0.1957361584859524,0.1968810916179337,101,0.5873506967064088,neither,false,false
2014,seat_winning,28,5,13,PSB,PMDB,9,0.30658726791748914,0.3235867446393762,166,8.720731558328083,neither,false,false
2014,seat_winning,28,5,14,PSB,PSD,10,0.3678879848765174,0.3937621832358674,202,13.273463758346566,neither,false,false
2014,seat_winning,28,5,15,PSB,PSDB,11,0.4817873704203263,0.49902534113060426,256,8.843078974372588,neither,false,false
2014,seat_winning,28,5,16,PSB,PTN,12,0.4892156419050153,0.50682261208577,260,9.032375702727137,seats_only,true,true
2014,seat_winning,28,5,17,PSB,PRTB,13,0.49388092204975187,0.5087719298245614,261,7.639086988477288,seats_only,true,false
2014,seat_winning,28,5,18,PSB,PROS,14,0.5141891734069397,0.530214424951267,272,8.220954042239953,votes+seats,false,false
2014,seat_winning,28,5,19,PSB,PRP,15,0.5216343212105212,0.5360623781676414,275,7.401593219002621,votes+seats,false,false
2014,seat_winning,28,5,20,PSB,PR,16,0.5795203928897429,0.6023391812865497,309,11.706038447561923,votes+seats,false,false
2014,seat_winning,28,5,21,PSB,PRB,17,0.624970630788318,0.6432748538011696,330,9.390066405592847,votes+seats,false,false
2014,seat_winning,28,5,22,PSB,PTC,18,0.628443649847958,0.6471734892787524,332,9.608407627997565,votes+seats,false,false
2014,seat_winning,28,5,23,PSB,PSDC,19,0.6336815333237862,0.6510721247563352,334,8.921373404897679,votes+seats,false,false
2014,seat_winning,28,5,24,PSB,PSL,20,0.641988318382572,0.6530214424951267,335,5.659992669740575,votes+seats,false,false
2014,seat_winning,28,5,25,PSB,PP,21,0.7080328730559595,0.7270955165692008,373,9.779136122292755,votes+seats,false,false
2014,seat_winning,28,5,26,PSB,PSC,22,0.73392175226439,0.7524366471734892,386,9.498141088367902,votes+seats,false,false
2014,seat_winning,28,5,27,PSB,PEN,23,0.7407830390098525,0.7563352826510721,388,7.978300987945659,votes+seats,false,false
2014,seat_winning,28,5,28,PSB,DEM,24,0.7827477264373154,0.797270955165692,409,7.450416337657202,votes+seats,false,false
2014,seat_winning,28,6,6,PPS,PPS,1,0.020088150467821215,0.01949317738791423,10,-0.30522118999228276,neither,false,false
2014,seat_winning,28,6,7,PPS,PV,2,0.04067730060331351,0.03508771929824561,18,-2.8674552094998305,neither,false,false
2014,seat_winning,28,6,8,PPS,PTB,3,0.08088251623018083,0.08382066276803118,43,1.50726917391723,neither,false,false
2014,seat_winning,28,6,9,PPS,PT DO B,4,0.0892282000227743,0.08576998050682261,44,-1.7740666116832173,neither,false,false
2014,seat_winning,28,6,10,PPS,SOLIDARIEDADE,5,0.11685586393122252,0.11500974658869395,59,-0.9470581967171512,neither,false,false
2014,seat_winning,28,6,11,PPS,PMN,6,0.12166785403502307,0.12085769980506822,62,-0.41560911996683814,neither,false,false
2014,seat_winning,28,6,12,PPS,PHS,7,0.13135471727625786,0.13060428849902533,67,-0.3849699627202767,neither,false,false
2014,seat_winning,28,6,13,PPS,PMDB,8,0.2422058267077946,0.2573099415204678,132,7.748410898901369,neither,false,false
2014,seat_winning,28,6,14,PPS,PSD,9,0.3035065436668229,0.32748538011695905,168,12.301143098919852,neither,false,false
2014,seat_winning,28,6,15,PPS,PSDB,10,0.4174059292106318,0.4327485380116959,222,7.870758314945874,neither,false,false
